filmid,title,runtime,genre,director,actors,language,country,imdbRating,metascore,imdbVotes,Worlwide boxoffice,budget,ROI,year,winner,category
tt0910970,WALL·E,98 min,Animation,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin",English,United States,8.4,95,"1,259,621",527403656,180000000.0,1.93,2008,yes,animated feature film
tt0765432,The Baader Meinhof Complex,150 min,Action,Uli Edel,"Martina Gedeck, Moritz Bleibtreu, Johanna Wokalek","German, English, French, Swedish, Arabic",Germany,7.3,76,"40,508",26937355,23000000.0,0.17,2008,no,foreign language film
tt1068646,The Class,128 min,Drama,Laurent Cantet,"François Bégaudeau, Agame Malembo-Emene, Angélica Sancio","French, Bambara, Spanish",France,7.5,92,"36,785",29303505,7000000.0,3.19,2008,no,foreign language film
tt1069238,Departures,130 min,Drama,Yôjirô Takita,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki",Japanese,Japan,8.0,68,"55,909",74236951,4500000.0,15.5,2008,yes,foreign language film
tt1173745,Revanche,121 min,Crime,Götz Spielmann,"Johannes Krisch, Irina Potapenko, Andreas Lust","German, Russian",Austria,7.5,84,"16,327",886407,0.0,inf,2008,no,foreign language film
tt1185616,Waltz with Bashir,90 min,Documentary,Ari Folman,"Ari Folman, Ron Ben-Yishai, Ronny Dayag","Hebrew, Arabic, German, English",Israel,8.0,91,"61,713",11179372,2000000.0,4.59,2008,no,foreign language film
tt0421715,The Curious Case of Benjamin Button,166 min,Drama,David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton","English, Russian, French",United States,7.8,70,"719,514",335802786,160000000.0,1.1,2008,no,best picture
tt0870111,Frost/Nixon,122 min,Biography,Ron Howard,"Frank Langella, Michael Sheen, Kevin Bacon",English,United Kingdom,7.6,80,"113,901",27426335,29000000.0,-0.05,2008,no,best picture
tt1013753,Milk,128 min,Biography,Gus Van Sant,"Sean Penn, Josh Brolin, Emile Hirsch",English,United States,7.5,83,"181,480",54662930,20000000.0,1.73,2008,no,best picture
tt0976051,The Reader,124 min,Drama,Stephen Daldry,"Kate Winslet, Ralph Fiennes, Bruno Ganz","English, German, Greek, Latin",Germany,7.6,58,"268,414",108902486,32500000.0,2.35,2008,no,best picture
